CTUID,CTNAME,CMAUID,CMANAME,CMATYPE,CMAPUID,PRUID,PRNAME,82110000,82210000,82220000,82440000,82990000,51410000,54110000,54210000,54310000,54510000,54610000,92240000,92210000,79990000
5320014.01,14.01,532,Oshawa,B,35532,35,Ontario,3,0,0,0,2,0,0,0,0,1,0,0,0,0
5320009.04,9.04,532,Oshawa,B,35532,35,Ontario,5,0,0,0,3,0,0,0,0,0,0,0,0,0
5350311.05,311.05,535,Toronto,B,35535,35,Ontario,2,0,0,0,0,0,1,0,0,0,0,0,0,0
5350244.02,244.02,535,Toronto,B,35535,35,Ontario,4,1,0,0,0,0,3,0,0,0,0,0,0,2
6020101.02,101.02,602,Winnipeg,B,46602,46,Manitoba,5,0,0,0,1,0,1,2,0,0,0,0,0,2
3200007,7,320,Fredericton,K,13320,13,New Brunswick / Nouveau-Brunswick,2,2,0,0,0,0,1,0,0,0,0,0,0,1
9330116,116,933,Vancouver,B,59933,59,British Columbia / Colombie-Britannique,3,0,0,0,1,0,5,0,0,0,0,0,0,0
5050103,103,505,Ottawa - Gatineau (Ontario part / partie de l'Ontario),B,35505,35,Ontario,0,0,0,0,0,0,3,1,0,0,0,2,0,1
6020102.02,102.02,602,Winnipeg,B,46602,46,Manitoba,0,0,0,0,2,0,1,0,0,0,0,1,0,0
10006,6,1,St. John's,B,10001,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,5,6,0,0,31,3,24,4,0,2,4,1,3,41
4620515.04,515.04,462,Montréal,B,24462,24,Quebec / Québec,0,0,0,0,0,0,3,0,0,0,0,0,0,0
5410013,13,541,Kitchener - Cambridge - Waterloo,B,35541,35,Ontario,5,0,0,0,3,0,0,0,0,0,0,0,0,2
5350564.02,564.02,535,Toronto,B,35535,35,Ontario,3,0,0,0,2,0,1,0,0,0,0,0,0,0
5350003,3,535,Toronto,B,35535,35,Ontario,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5390011,11,539,St. Catharines - Niagara,B,35539,35,Ontario,4,0,0,0,4,0,5,0,0,0,0,0,0,1
5410123.01,123.01,541,Kitchener - Cambridge - Waterloo,B,35541,35,Ontario,2,0,0,0,2,0,1,0,0,0,0,0,0,1
5350018,18,535,Toronto,B,35535,35,Ontario,2,0,0,0,3,0,2,0,0,0,2,0,0,1
9330502.07,502.07,933,Vancouver,B,59933,59,British Columbia / Colombie-Britannique,8,1,0,0,0,0,1,0,0,0,0,0,1,0
5950023.01,23.01,595,Thunder Bay,B,35595,35,Ontario,2,0,0,0,0,0,1,0,0,0,0,0,0,3
5050810.01,810.01,505,Ottawa - Gatineau (partie du Québec / Quebec part),B,24505,24,Quebec / Québec,3,0,0,0,1,0,4,1,0,0,0,0,0,1
5370026.03,26.03,537,Hamilton,B,35537,35,Ontario,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5370003.01,3.01,537,Hamilton,B,35537,35,Ontario,2,1,0,0,1,0,0,0,0,0,0,0,0,0
5350442.04,442.04,535,Toronto,B,35535,35,Ontario,2,0,0,0,2,0,0,0,0,0,1,0,0,1
5350576.09,576.09,535,Toronto,B,35535,35,Ontario,3,0,0,0,5,0,3,0,0,0,0,1,0,1
7050005,5,705,Regina,B,47705,47,Saskatchewan,4,3,0,0,3,0,2,0,0,0,0,0,1,1
5350613.04,613.04,535,Toronto,B,35535,35,Ontario,3,2,0,0,32,1,6,0,0,0,1,0,0,7
4330009.02,9.02,433,Sherbrooke,B,24433,24,Quebec / Québec,2,1,0,0,4,1,3,1,0,0,1,0,15,4
6020045,45,602,Winnipeg,B,46602,46,Manitoba,8,0,0,0,0,0,4,1,0,0,1,1,0,0
9350130.01,130.01,935,Victoria,B,59935,59,British Columbia / Colombie-Britannique,4,0,0,0,8,0,3,0,0,0,0,0,0,1
4620283.01,283.01,462,Montréal,B,24462,24,Quebec / Québec,3,0,0,0,0,0,0,0,0,0,0,0,0,0
8350105.03,105.03,835,Edmonton,B,48835,48,Alberta,0,0,0,0,0,0,0,0,0,0,0,1,0,5
5900005,5,590,Sault Ste. Marie,K,35590,35,Ontario,3,1,0,0,4,0,1,0,0,0,0,0,1,6
5350411.24,411.24,535,Toronto,B,35535,35,Ontario,4,0,0,0,0,0,0,0,0,0,0,0,0,0
5350527.06,527.06,535,Toronto,B,35535,35,Ontario,4,0,0,0,2,0,2,0,0,0,0,0,0,0
9330028,28,933,Vancouver,B,59933,59,British Columbia / Colombie-Britannique,1,0,0,0,0,0,1,0,0,0,0,0,0,1
5370055,55,537,Hamilton,B,35537,35,Ontario,2,0,0,0,2,0,3,0,0,0,0,0,0,0
5350030,30,535,Toronto,B,35535,35,Ontario,4,2,0,0,3,0,4,0,0,0,0,1,0,1
5210200,200,521,Kingston,B,35521,35,Ontario,0,0,0,0,0,0,0,0,0,0,0,0,0,2
5350317.02,317.02,535,Toronto,B,35535,35,Ontario,0,0,0,0,1,0,3,0,0,0,0,0,0,0
4330400.01,400.01,433,Sherbrooke,B,24433,24,Quebec / Québec,0,0,0,0,3,0,2,1,0,0,0,0,0,1
5350279.02,279.02,535,Toronto,B,35535,35,Ontario,6,0,0,0,2,1,2,0,0,0,2,0,0,1
4620416.02,416.02,462,Montréal,B,24462,24,Quebec / Québec,3,1,0,0,1,0,2,0,0,0,2,1,0,0
5350576.06,576.06,535,Toronto,B,35535,35,Ontario,4,0,0,0,1,0,1,0,0,0,0,0,0,0
5350029,29,535,Toronto,B,35535,35,Ontario,8,3,0,0,5,0,10,2,1,0,8,0,0,0
5350312.03,312.03,535,Toronto,B,35535,35,Ontario,2,1,0,0,1,3,5,1,0,0,1,0,0,0
9320009.01,9.01,932,Abbotsford - Mission,B,59932,59,British Columbia / Colombie-Britannique,5,0,0,0,5,0,0,0,0,0,0,0,0,0
2050100,100,205,Halifax,B,12205,12,Nova Scotia / Nouvelle-Écosse,2,2,0,0,3,0,3,0,0,0,0,2,0,3
3050016.02,16.02,305,Moncton,B,13305,13,New Brunswick / Nouveau-Brunswick,5,0,0,0,0,0,5,0,1,0,0,1,0,2
3100120.03,120.03,310,Saint John,B,13310,13,New Brunswick / Nouveau-Brunswick,0,0,0,0,0,0,1,0,0,0,0,1,0,2
8250072,72,825,Calgary,B,48825,48,Alberta,4,3,0,0,3,0,1,0,0,0,0,1,0,3
5350442.06,442.06,535,Toronto,B,35535,35,Ontario,2,0,0,0,2,0,1,0,0,0,1,0,0,1
5350304.02,304.02,535,Toronto,B,35535,35,Ontario,5,1,0,0,3,0,1,0,0,0,0,0,0,0
6020113,113,602,Winnipeg,B,46602,46,Manitoba,3,1,0,0,0,0,0,0,0,0,0,0,0,3
4080100,100,408,Saguenay,B,24408,24,Quebec / Québec,1,0,0,0,4,0,3,1,0,0,0,0,0,1
5370211,211,537,Hamilton,B,35537,35,Ontario,5,0,0,0,5,0,1,0,0,0,0,0,0,0
10170.02,170.02,1,St. John's,B,10001,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,1,0,0,0,4,0,2,0,0,0,0,0,0,1
4620036,36,462,Montréal,B,24462,24,Quebec / Québec,2,4,0,0,1,0,2,0,0,0,0,0,0,1
5590019.05,19.05,559,Windsor,B,35559,35,Ontario,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4620237,237,462,Montréal,B,24462,24,Quebec / Québec,2,0,0,0,4,0,10,0,1,0,1,0,0,0
8100100.01,100.01,810,Lethbridge,K,48810,48,Alberta,7,0,0,0,0,0,0,0,0,0,0,0,0,1
8250074,74,825,Calgary,B,48825,48,Alberta,6,2,0,0,1,0,3,0,0,0,2,0,0,3
5050170.04,170.04,505,Ottawa - Gatineau (Ontario part / partie de l'Ontario),B,35505,35,Ontario,4,0,0,0,2,0,1,0,0,0,0,0,0,0
9300006,6,930,Chilliwack,K,59930,59,British Columbia / Colombie-Britannique,1,1,0,0,2,0,0,0,0,0,0,0,0,0
5350800.02,800.02,535,Toronto,B,35535,35,Ontario,7,0,0,0,8,0,5,1,0,0,1,1,0,14
9330504.13,504.13,933,Vancouver,B,59933,59,British Columbia / Colombie-Britannique,5,0,0,1,2,1,4,1,0,0,1,0,1,2
8250005,5,825,Calgary,B,48825,48,Alberta,3,1,0,0,6,0,6,0,0,0,3,0,0,4
5350362.02,362.02,535,Toronto,B,35535,35,Ontario,1,0,0,0,5,0,1,0,0,1,1,1,0,0
4210900,900,421,Québec,B,24421,24,Quebec / Québec,3,0,0,0,0,0,3,2,0,0,1,1,0,4
5370003.03,3.03,537,Hamilton,B,35537,35,Ontario,2,0,0,0,1,0,0,0,0,0,0,0,0,0
9330504.07,504.07,933,Vancouver,B,59933,59,British Columbia / Colombie-Britannique,2,0,0,0,1,0,5,0,0,0,3,0,0,1
3200018,18,320,Fredericton,K,13320,13,New Brunswick / Nouveau-Brunswick,1,0,0,0,0,0,2,0,0,0,0,0,0,4
5500001.06,1.06,550,Guelph,B,35550,35,Ontario,2,0,0,0,5,0,1,1,0,1,0,0,0,4
4620117,117,462,Montréal,B,24462,24,Quebec / Québec,2,0,0,0,1,0,2,0,0,0,3,0,0,0
2050121.07,121.07,205,Halifax,B,12205,12,Nova Scotia / Nouvelle-Écosse,3,0,0,0,0,0,1,0,0,0,0,0,0,0
5350576.35,576.35,535,Toronto,B,35535,35,Ontario,6,0,0,1,0,0,1,1,0,0,0,0,0,0
5680004.04,4.04,568,Barrie,B,35568,35,Ontario,2,0,0,0,0,0,2,0,0,0,0,0,0,0
5800001.02,1.02,580,Greater Sudbury / Grand Sudbury,B,35580,35,Ontario,9,0,0,0,4,0,2,0,0,0,1,0,0,1
8350059,59,835,Edmonton,B,48835,48,Alberta,7,0,0,0,0,1,7,1,0,0,3,1,0,5
9330221.01,221.01,933,Vancouver,B,59933,59,British Columbia / Colombie-Britannique,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4330300.01,300.01,433,Sherbrooke,B,24433,24,Quebec / Québec,4,0,0,0,1,0,4,1,0,0,0,1,0,1
5050133,133,505,Ottawa - Gatineau (Ontario part / partie de l'Ontario),B,35505,35,Ontario,2,3,0,0,4,0,1,0,0,0,1,0,0,1
8350151.02,151.02,835,Edmonton,B,48835,48,Alberta,7,0,0,0,1,0,1,0,0,0,0,1,0,0
4620584,584,462,Montréal,B,24462,24,Quebec / Québec,2,0,0,0,2,0,7,0,0,0,1,0,1,0
4620286,286,462,Montréal,B,24462,24,Quebec / Québec,2,0,0,0,1,0,3,0,0,0,0,0,1,0
5900004,4,590,Sault Ste. Marie,K,35590,35,Ontario,3,2,0,0,0,0,0,0,0,0,0,0,0,2
